wpid,title,author1first,author1mid,author1last,author1workplace,author2first,author2mid,author2last,author2workplace,author3first,author3mid,author3last,author3workplace,author4first,author4mid,author4last,author4workplace,author5first,author5mid,author5last,author5workplace,abstract,creationdate,sectionurlid,papernumber,filefunction,jel,keywords,suppress
332,"Researching Second Generation in a Transitional, European, and  Agricultural Context of Reception of Immigrants",Estrella,NULL,Gualda,University of Huelva,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Previous research focusing on the study of immigrant offspring has shown inconclusive results and uncovered different ways of their incorporation into society. This contrasts with the unilateral model suggested by the more radical notions of ?linear assimilation?, for instance, the possibility of an ?upward? as well as a ?downward assimilation?, giving rise to the segmented assimilation thesis (Portes and Zhou, 1993; Portes and Rumbaut, 2006). Some experts have given empirical evidence to support this view, but other researchers have pointed out that the model of ?segmented assimilation? is not so productive in other cases or they have defended that it presents a pessimistic point of view on assimilation processes (see i.e. Alba and Nee, 2003). The majority of these debates have been focused on empirical data obtained in ?old countries of immigration?. Since knowledge of second generation immigrant activity is of such importance to social, political and applied sciences in general the objective of this paper is to present a review of some of the theoretical and methodological problems encountered in the research of second generation immigrants in Spain and particularly in Andalusia and one its provinces, Huelva. It is hoped to contribute to the debate on the feasibility of researching this generation in ?transitional contexts of immigration?, but also under the eye of the particularities regarding local contexts impregnated in a strong historical tradition of employing immigrants (at first national, later international migrants) according to the agricultural calendar. Primary data taken in Huelva and Andalusia (Spain), in a preliminary exploration, expose the similarities, differences and difficulties in researching second generations in transitional contexts. The first results, though preliminary, seems to give support to the thesis of segmented assimilation.",2007-02,CMD,wp0701.pdf,NULL,NULL,"Second generation; children of immigrants; segmented assimilation; transitional countries of immigration; Huelva, Spain",0
333,Revisiting the Enclave Hypothesis: Miami Twenty-Five Years Later,Alejandro,NULL,Portes,Princeton University,Steven,NULL,Shafer,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"We review the empirical literature on ethnic economic enclaves after the concept was formulated twenty-five years ago. The balance of this literature is mixed, but many studies reporting negative conclusions were marred by faulty measurement of the concept. We discuss the original theoretical definition of enclaves, the hypotheses derived from it, and the difficulties in operationalizing them. For evidence, we turn to census data on the location and the immigrant group that gave rise to the concept in the first place ? Cubans in Miami. We examine the economic performance of this group, relative to others in this metropolitan area, and in the context of historical changes in its own mode of incorporation. Taking these changes into account, we find that the ethnic enclave had a significant economic payoff for its founders ? the earlier waves of Cuban exiles ? and for their children, but not for refugees who arrived in the 1980 Mariel exodus and after. Reasons for this disjuncture are examined. Implications of these results for enclave theory and for immigrant entrepreneurship in general are discussed.",2006-05,CMD,wp0610.pdf,NULL,NULL,NULL,0
334,GLOBALIZING RESTRICTED AND SEGMENTED MARKETS:  Challenges to Theory and Values in Economic Sociology,Donald,W.,Light,Netherlands Institute for Advanced Study,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"The efforts by the world?s most powerful corporations to develop global markets have spawned a substantial sociological and economic literature on how transnational markets form, what stages characterize market development, and what rules of exchange are most effective. As the authors of a prominent article put it, ??the central question is?what kinds of rules and structures promote market activity and what kinds stifle it? (Fligstein and Stone Sweet 2002:1212). Such a goal assumes market activity to be a per se good, part of the grand globalization blueprint for a better society. But as Robert Merton emphasized throughout his writings, such grand purposive actions may have unintended consequences and serve latent functions or dysfunctions. Alejandro Portes (2000), in his extension of Merton?s analytic framework, adds four other possibilities pertinent to good research on globalization: concealed goals to achieve covert ends, emergent means and altered outcomes, backfire or results contrary to those intended, and unexpected changes that facilitate outcomes or frustrate them.",2006-06,CMD,wp0606.pdf,NULL,NULL,NULL,0
335,The Global Assembly Line in the New Millennium,Patricia,NULL,Fern�ndez-Kelly,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"More than 20 years ago, as part of my dissertation research, I sat behind a sewing machine at a Mexican maquiladora in Ciudad Juarez. That border city was the cradle of outsourcing in the region for American companies aiming to reduce production costs and improve their competitive edge in the world market. For approximately two months I sewed biases around the cuff openings of men?s shirts for such well known American companies as Billy the Kid, Devon, and Sears Roebuck. My wage was nine times smaller than the minimum wage of $1.90 paid to workers in the neighboring city of El Paso, Texas, one of the most depressed in the United States, but still more expensive from the point of view of employers than its Mexican counterpart, just 15 minutes across the international line. The year was 1978 and Ciudad Juarez was experiencing a boom resulting from a new trend in globalization. Women were becoming the new face of the international proletariat.",2006-06,CMD,wp0605.pdf,NULL,NULL,NULL,0
336,A Howl to the Heavens: Art in the Life of First- and Second-Generation Cuban Americans,Patricia,NULL,Fern�ndez-Kelly,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"In a recent review of Phillip Roth?s prolific contribution to American Literature, a critic observes about the central character in his most notorious book, that Alexander Portnoy?s onanistic hold to the flesh is literally, in rebellion against the life that is being forced upon him . . . A fiercely comic shtick that is also a howl to the heavens. The same may be said about much of art and, especially, about art as cultivated by first- and second generation immigrants in the United States.",2006-06,CMD,wp0604.pdf,NULL,NULL,NULL,0
337,Inside and Outside the Box: The Politics of Arab American Identity and Artistic  Representations,Amaney,NULL,Jamal,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Arab American identity is strongly rooted in the political realities and social  identity constructions of the homeland. For decades, homeland attachments have shaped  Arab American identity; thus, it is not surprising that Arab American arts have  traditionally relied on the cultural and folkloric elements of social ties and other  relationships to the homeland. As with other ethnic groups, however, an additional  dimension also shapes Arab?and Arab American?identity. The long history of  political conflicts in the Arab world has played an equally significant role in structuring  Arab American identity. The politically contentious realities of the Middle East from  multiple US involvements in the region, the Arab-Israeli conflict, to the newly  constructed War on Terror are all at the heart of Arab and Arab American identity.",2006-06,CMD,wp0604a.pdf,NULL,NULL,NULL,0
338,Negotiating Memories of War: Arts in the Vietnamese American Communities,Yen Le,NULL,Espiritu,"University of California, San Diego",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"In the United States, the writing on the Vietnam War involves the highly organized and strategic forgetting of the Vietnamese people. In a highly original work that investigates the production of American cultural memory, Marita Sturken shows that in the United States, the narrative of the Vietnam War foregrounds the painful experience of the Vietnam veterans in such a way that the Vietnamese people are forgotten: ?They are conspicuously absent in their roles as collaborators, victims, enemies, or simply the people whose hand and over whom (supposedly) this war was fought? (Sturken 1997, 62). Likewise, US scholars have refused to treat Vietnamese refugees as genuine subjects, with their own history, culture, heritage, and political agendas.",2006-06,CMD,wp0604b.pdf,NULL,NULL,NULL,0
339,"Visual Culture and Visual Piety in Little Haiti: The Sea, the Tree, and the Refugee",Terry,NULL,Rey,Temple University,Alex,NULL,Stepick,Florida International University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Religious images, especially the Virgin Mary and Saint James the Greater, dominate the resplendent visual culture of Haiti and its diaspora.1 Whether in the mountains of Haiti or the streets of Miami?s Little Haiti, however, their meanings vary and are contested among Haitian believers. For Catholics, the Virgin Mary and Saint James the Greater are, respectively, Christ?s mother and one of his apostles. For practitioners of Vodou, they might represent instead Ezili and Ogun, spirits originally from the Africa of their enslaved ancestors. And for Protestants, , they might represent the idolatry causing Haiti?s many and grave social ills. For all religious Haitians these images are deeply invested with meaning, however divergent their interpretations may be.",2006-06,CMD,wp0604c.pdf,NULL,NULL,NULL,0
340,GenerAsians Learn Chinese: The Asian American Youth Generation and New Class Formations,Deborah,NULL,Wong,"University of California, Riverside",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Why is Jin telling us that we should learn Chinese? Is there an Asian American youth culture? How does immigration and relative generation define it?  This essay addresses Americans of Asian descent1 who are roughly 18 to 25 years old: I focus on the mass-mediated popular cultures that they consume and create. My central question is how young Americans of Asian descent are in some ways moving away from the ?Asian American? cultural and political project created in the 1960s-70s that has driven Asian American Studies to date. This youth generation is no more homogeneous than any other, and my purpose here is to think about its identifications because I believe minoritarian politics are still essential to American democratic potential. Further, the relationship between immigration, transnational movement, and class-defined democracy is the challenge of this historical moment. My interest in two contrasting Asian American youth cultures is thus embedded in these broader questions, and for me have a certain urgency.  I argue that this youth generation responds to the conditions of their moment in ways that",2006-06,CMD,wp0604d.pdf,NULL,NULL,NULL,0
341,Visualizing Mexican Migration to the United States,Gil,NULL,Cardenas,University of Notre Dame,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"This paper provides an analysis of artistic expression about Mexican immigration to the U.S. drawing on work primarily created in the U.S. by Mexican and Chicano artists and other artists who have participated in creating a visual record and contemporary picture of Mexican migration to the U.S. This paper seeks to answer several questions. How does the visual record of Mexican immigration line up with the written account? What can we learn about Mexican migration from the visual history ? paintings, prints, sketches, illustrations, photographs, sculpture, installations, murals, and performances? What is missing?  What do we need to find in order to augment our understanding of Mexican migration through visual analysis? Where do we look in our efforts to fill the gaps? Libraries, archives, private collections, museum collections, U.S. and Mexico. Where does Mexican migration fit in the American imaginary? How do issues of documentation, representation, presentation, factor in analyzing and interpreting the visual record? How does consideration of self-representation and interpretation factor into the discussion - the immigrant narrative? What roles have galleries, museums, art centers, artistic movements played in presenting and representing the visual and artistic account of the Mexican immigrant experience?",2006-06,CMD,wp0604e.pdf,NULL,NULL,NULL,0
342,"EL SISTEMA DE AVIACION CIVIL EN CHILE Y LA DIRECCION GENERAL DE AERONAUTICA CIVIL, (DGAC)",Angelica,NULL,Thumala,Instituto de Sociologia de la Pontificia Universidad Catolica de Chile,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2006-08,CMD,wp0608a.pdf,NULL,NULL,NULL,0
343,INSTITUCIONALIDAD Y DESARROLLO EN CORREOS DE CHILE,Luz Eugenia,NULL,Cereceda,Instituto de Sociologia de la Pontificia Universidad Catolica de Chile,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"CorreosChile es una empresa del Estado arraigada y presente en el coraz�n de la  ciudadan�a, especialmente en lugares apartados y que ven al servicio postal como un  v�nculo real y emocional con el resto del pa�s. Esta empresa que nace en el siglo 18 fruto  del proceso de modernizaci�n, y que ha experimentados diversos cambios en el tiempo, en  los inicio del siglo 21, es reestructurada integralmente, tanto en t�rminos de su estructura,  procesos y gesti�n, como en sus funciones, orientaci�n comercial y marco legal. Estos  cambios son producto tanto de la necesidad de adecuar la instituci�n al mundo globalizado  al que Chile se integra, a la pol�tica de modernizaci�n del Estado, pero tambi�n a graves  problemas institucionales internos de administraci�n.  En la actualidad, los rasgos que m�s destacan a la empresa son su competitividad, su  administraci�n profesional y transparente, y su modo de gesti�n en que se privilegia el  trabajo en equipo, con una clara delimitaci�n de funciones, y en que se promueve el  di�logo y el entendimiento con los trabajadores, entre otras caracter�sticas.",2006-08,CMD,wp0608b.pdf,NULL,NULL,NULL,0
344,La Bolsa de Comercio de Santiago de Chile: un an�lisis institucional,Guillermo,NULL,Wormald,Universidad Catolica de la Pontificia Universidad Catolica de Chile,Daniel,NULL,Brieba,Universidad Catolica de la Pontificia Universidad Catolica de Chile,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Este trabajo est� orientado a describir y analizar el desarrollo de la Bolsa de Comercio de Santiago de Chile en tanto instituci�n social. Ello supone asumir una perspectiva de an�lisis que incorpore, a lo menos, dos dimensiones centrales: Una propiamente institucional referida a las funciones, normas y valores que fundan su estructura y una organizacional que refiere a las formas en que se realizan estas funciones.  En el caso de la instituci�n analizada ambas dimensiones tienen una larga data hist�rica. Sin embargo, el �nfasis en este trabajo est� puesto en comprender su funcionamiento actual, especialmente a partir de los nuevos desaf�os que le impone el proceso de modernizaci�n de la econom�a y de la sociedad chilena como producto del nuevo modelo de orientaci�n neoliberal que se implanta en Chile desde mediados de la d�cada de 1970.  Si bien existen en Chile otras dos bolsas de valores (i.e. La Bolsa de Valpara�so y la Bolsa Electr�nica, de reciente creaci�n) ha sido la Bolsa de Comercio de Santiago la que ha concentrado hist�ricamente la organizaci�n del mercado de valores en el pa�s. Por lo tanto, nos pareci� relevante concentrar el an�lisis en ella.",2006-08,CMD,wp0608c.pdf,NULL,NULL,NULL,0
345,Investigaci�n Instituciones y Desarrollo Caso: Aerocivil de Colombia,Ivan,NULL,Hern�ndez,Universidad Nacional de Colombia,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"El debate convencional en pa�ses en desarrollo sobre la administraci�n p�blica se ha centrado en las �ltimas d�cadas alrededor de los (restringidos) alcances y (amplios) l�mites del Estado1. El paradigm�tico punto que plantea esta literatura consiste en que el inter�s individual, as� como gobierna el comportamiento de otros agentes en el sistema econ�mico, tambi�n gobierna el comportamiento de los agentes dentro de una burocracia estatal. Este planteamiento surgi� de la necesidad te�rica de subsanar la inconsistencia dentro de la te�rica econ�mica neocl�sica de suponer que los individuos suelen buscar su inter�s propio y particular en las actividades de consumo y producci�n, por el contrario, buscan el bien com�n cuando desempe�an una funci�n en el aparato estatal.   De este comportamiento individualista y ego�sta se deriva la ?inevitabilidad? de la falla del estado y, consecuentemente, de su decisiones y acciones de pol�tica p�blica. Detr�s de esta misma inquietud est�n las prescripciones del ?Consenso de Washington? (FMI, Banco Mundial, BID), las cuales se gestaron durante los 70s y 80s bajo la percepci�n del pensamiento convencional sobre los empleados p�blicos. Antes de los 70s, en la era en que preponderaba la concepci�n keynesiana del Estado, se asociaba a los empleados p�blicos com�nmente con los agentes, por excelencia, al servicio del bienestar social -de all� el t�tulo de ?servidores p�blicos?. Pero con el advenimiento del pensamiento y cr�tica neoliberales, se encuentra a�n inherente en el pensamiento actual una connotaci�n negativa del comportamiento de los agentes de la administraci�n p�blica, que promulga que cuando se delega al Estado en cierto de tipo de actividades es muy factible que, debido al abuso burocr�tico del Estado o debido a la influencia de grupos de inter�s pol�ticamente poderosos, se corrompan sus fines ulteriores.",2006-08,CMD,wp0608d.pdf,NULL,NULL,NULL,0
346,Administraci�n Postal Nacional Adpostal Colombia,Luz Marina,NULL,Diaz M.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Aquella fr�a ma�ana bogotana me encamin� hacia el viejo edificio Manuel Murillo Toro, ubicado en un deteriorado sector del centro de la ciudad. Ten�a mi primera entrevista y una cierta ansiedad me embargaba. Me indicaron en la porter�a que subiera al sexto piso. Sub� por un viejo ascensor y tom� hacia la izquierda, de acuerdo con las indicaciones recibidas. Era un largo corredor, con paredes despintadas, que estaba en la penumbra y al lado y lado de �l hab�an varias oficinas de aspecto l�gubre. Al fin llegu� a donde mi entrevistado. Era un hombre de edad madura. Su escritorio desvencijado y su presencia perezosa y somnolienta, me hac�an recordar alg�n pasaje de las novelas de Dostoievsky que le� siendo una ni�a. Lo m�s resaltante de de lo que me dijo fue: ?El descalabro mayor del gobierno de Uribe es acabar con ADPOSTAL. Ya solo quedan mil empleados. Hubo despidos masivos en 2005?. En la tarde me dirig� a las otras oficinas, por la avenida que llega hasta el aeropuerto internacional. La edificaci�n era sin duda m�s moderna y cuidada que la anterior. La luz entraba generosamente por un gran ventanal y mi entrevistado se levant� muy amablemente para atenderme. Result� ser un joven ejecutivo, de charla animada que ven�a de la empresa privada y recientemente se hab�a vinculado a la administraci�n postal, me recibi�, y me dijo en tono vehemente: ?Soy administrador de empresas. Mi compromiso es hacer de ADPOSTAL una empresa m�s eficiente y rentable. Mi oficina maneja el 70% de los ingresos totales y el 60% del volumen de correo y paquetes.? As� fue mi primera inmersi�n en este tema. Sent�a que hab�a muchas cosas por indagar. Recordaba que siendo ni�a, escuch�bamos el silbato del cartero y entonces sal�amos precipitadamente a la puerta de la casa porque ?llegaron cartas!? Not� que ya no llegan cartas de las de antes y tampoco se escucha el silbato del cartero. Los buzones de las calles tambi�n hace muchos a�os que los quitaron.",2006-08,CMD,wp0608e.pdf,NULL,NULL,NULL,0
347,De Club de Caballeros a Foro Electr�nico de Negociaci�n: Un An�lisis Institucionalista Denso de la Bolsa de Valores de Colombia,C�sar,A.,Rodr�guez Garavito,Universidad de Los Andes,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"el tema? ?es un medio de poder en la lucha econ�mica?. De la misma manera como en la guerra se necesitan ?rifles y ca�ones?, ?una bolsa fuerte? es necesaria en tiempos de paz, cuando ?las naciones seguir�n su lucha inexorable e inevitable por la existencia nacional y el poder econ�mico? (en Swedberg 1998: 184).  A pesar de que los tiempos de paz no han llegado a�n a Colombia, en los �ltimos a�os la bolsa ha adquirido el protagonismo y la centralidad que Weber vaticinaba hace m�s de un siglo. Tras el boom sin precedentes del mercado de valores de los �ltimos dos a�os, la bolsa ha pasado de ser una entidad fragmentada y conocida s�lo por una peque�a �lite especializada, a ser un centro nacional de operaciones financieras que rara vez deja los titulares de los diarios. En este texto me propongo documentar y explicar esta profunda transformaci�n y sus efectos sobre la econom�a y el desarrollo colombianos, a partir de los resultados de un estudio de caso basado en una investigaci�n sistem�tica de fuentes secundarias y entrevistas semi-estructuradas con actores relevantes del mercado burs�til.",2006-08,CMD,wp0608f.pdf,NULL,NULL,NULL,0
348,Autoridad Aeron�utica de M�xico,Jos� Luis,NULL,Velasco,"Instituto de Investigaciones Sociales, UNAM",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Como parte del proyecto ?Instituciones y desarrollo: un estudio comparativo?, el presente trabajo analiza la autoridad aeron�utica y aeroportuaria de M�xico. Como se explicar� a lo largo del texto, esa autoridad se encuentra distribuida en varias oficinas gubernamentales. Pero entre ellas la Direcci�n General de Aeron�utica Civil (DGAC) ocupa un lugar central, no tanto por su nivel jer�rquico sino por ser el organismo que se dedica exclusivamente a realizar labores propias de la autoridad aeron�utica. Por esa raz�n, gran parte de este trabajo se enfoca precisamente en ella.  Hasta donde yo conozco, no hay estudios sobre la autoridad aeron�utica de M�xico, e incluso los que est�n dedicados espec�ficamente al aerotransporte en el pa�s son muy escasos. En consecuencia, este an�lisis tuvo que apoyarse casi exclusivamente en fuentes directas: entrevistas, leyes y reglamentos, estad�sticas, observaci�n.",2006-08,CMD,wp0608g.pdf,NULL,NULL,NULL,0
349,El mercado de valores mexicano: �Un factor para el desarrollo?,Miguel �ngel,NULL,G�mez Fonseca,Universidad Autonoma Metropolitana Iztapalapa,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"En este informe preliminar se presentan algunas formulaciones respecto al mercado de valores en M�xico a partir de un enfoque sociol�gico, con la intenci�n de superar las visiones estrictamente econ�micas. Se intenta aqu� incorporar factores que por lo general no son consideras por las diferentes disciplinas econ�micas como partes constitutivas de los fen�menos, sino como factores ex�genos que distorsionan las leyes o tendencias b�sicas de la econom�a. Este documento es una primera formulaci�n de este intento, por lo que todos los comentarios ser�n bien recibidos y por lo que se exhorta a no citarla a�n por tratarse de un ensayo cuyas tesis necesitan de maduraci�n, mayor reflexi�n y documentaci�n.",2006-08,CMD,wp0608h.pdf,NULL,NULL,NULL,0
350,The Moral Universe of Fabian Garramon: Religion and the Divided Self among Second-Generation Immigrants in the U.S.,Patricia,NULL,Fern�ndez-Kelly,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"How do spiritual and religious values interface with the process of assimilation among the children of immigrants in the United States at the beginning of the New Millennium? The purpose of this paper is to address that question on the basis of ethnographic evidence collected between 2002 and 2006 in Miami-Dade County. I follow three lines of argument. First, I take stock of earlier works to show how religion and spirituality function as part of a cognitive arsenal that second-generation immigrants deploy to ?make sense? of new and often inhospitable surroundings. In the case of racial minorities this is a matter of critical importance because religious and spiritual narratives can be used to resist and combat normative stereotypes; they can also provide a means for individuals to redefine circumstances in ways that restore dignity, creating a bridge between despair and hope. Even more importantly, adherence to particular religious and spiritual currents can be used by immigrant children to claim new identities in their adopted country.",2006-03,CMD,wp0603.pdf,NULL,NULL,NULL,0
351,NAFTA and Mexican Immigration,Alejandro,NULL,Portes,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"It was supposed to be the magic wand that took care of immigration. The North American Free Trade Agreement was to make Mexico rich and create enough employment incentives to keep its people at home. It has been anything but. More than ten years after the signing of the treaty, economic growth has been anemic in Mexico averaging less than 3.5 percent per year or less than 2 percent on a per capita basis since 2000; unemployment is higher than what it was when the treaty was signed; and half of the labor force must eke out a living in invented jobs in the informal economy, a figure ten percent higher than in the pre-NAFTA years. Meanwhile, jobs in the runaway maquiladora industry that left the United States to profit from free trade and cheap labor commonly pay close to the Mexican minimum wage of U.S. $7.00 per day, an amount so small in the now open Mexican market as to force people into informal jobs or across the border.",2006-04,CMD,NAFTA%20and%20Mexican%20Immigration.pdf,NULL,NULL,NULL,0
352,The Wall That Keeps Illegal Workers In,DOUGLAS,S.,MASSEY,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"THE Mexican-American border is not now and never has been out of control. The rate of undocumented migration, adjusted for population growth, to the United States has not increased in 20 years. That is, from 1980 to 2004 the annual likelihood that a Mexican will make his first illegal trip to the United States has remained at about 1 in 100.  What has changed are the locations and visibility of border crossings. And that shift, more than anything, has given the public undue fears about waves of Mexican workers trying to flood into America.",2006-04,CACPS,Massey%20op%20ed.pdf,NULL,NULL,NULL,0
353,Disconnected Dobbs,Alejandro,NULL,Portes,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"The great immigration battle of 2006 features, on one side, millions of immigrants and their supporters and, on the other, the Minutemen, some Congressmen, and Lou Dobbs. On the face of it, the battle is uneven, but then Dobbs has television on his side, and he uses it to great effect. The Sensenbrenner bill is what put the immigrants on the streets since it seeks to criminalize those here without a visa, their employers, and anyone who renders them assistance. The bill was not preceded by any massive citizen mobilization against immigrants: African-Americans did not rally in the streets, nor did Americans ?whose jobs immigrants take away?; the middle class did not march in protest nor did the employers. Passage of the Sensenbrenner bill was preceded by just talk, TV talk.",2006-05,CMD,Disconnected%20Dobbs.pdf,NULL,NULL,NULL,0
354,Haven?t We Heard This Somewhere Before?  A Substantive View of Transnational Migration Studies  by Way of a Reply to Waldinger and Fitzgerald,Nina,NULL,Schiller,University of New Hampshire and Max Planck Institute of Social Anthropology,Peggy,NULL,Levitt,Wellelsey College and Harvard University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Dialogue and discussion are necessary for the development of any new field of scholarship or analytical framework, especially when the point of contention is a long-established paradigm. However, the development of Transnational Migration Studies has been marred by something less salutary. Often scholars entering the field do so with the fervor of a convert, pronouncing that he or she has seen the light. Unfortunately, in their fervor, some converts tend to misread, misrepresent, put aside, or merely ignore all that has come before them. Among the latest set of scholars to see the transnational light are Roger Waldinger and David Fitzgerald (2004). Because their article American Journal of Sociology article, ?Transnationalism in Question,? epitomizes the pitfalls of neglecting or negating fifteen years of scholarly development, we feel it deserves to be critiqued at some length.",2006-01,CMD,wp0601.pdf,NULL,NULL,NULL,0
355,Immigrant Transnational Organizations and Development: A Comparative Study,Alejandro,NULL,Portes,Princeton University,Cristina,NULL,Escobar,Princeton University,Alexandria,NULL,Radford,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"www.conexioncolombia.com is the webpage for a public/private partnership in the Republic of Colombia which aims at diffusing information about the country among its immigrants all over the world and at channeling their contributions to established charities and philanthropic initiatives throughout the nation. ?With a simple click,? says Conexion Colombia?s attractive brochure, ?any person in the world can donate and contribute to the country?s development. Connect yourself now!? According to the young, dynamic executive director of the organization, Diana Sanchez-Rey, its webpage is visited by thousands of Colombians all over the world every day, looking for news and stories about their country and leaving their own statement.",2005-08,CMD,wp0507.pdf,NULL,NULL,NULL,0
356,"D�y� m�n, gen m�n?: Religious Mediation in the Assimilation of Haitian  Immigrants in Miami, Montreal and Paris",Margarita,NULL,Mooney,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"The title of my paper comes from a Haitian proverb that means ?beyond the  mountain, there is another mountain.? During the two years when I conducted research  among Haitians living in Miami, Montreal and Paris, many Haitians I encountered used  this proverb to express how migrating and assimilating1 into in a new country appears as  a never-ending mountain hike from their perspective. This proverb also illustrates the  essential argument I make in this paper. Although many scholars think of assimilation as  immigrants joining the new political community or finding a steady job, I argue that in  order to properly conceptualize immigrant assimilation we need to understand the types  of associations immigrants themselves create. Among the types of institutions immigrants  found, religious institutions provide a common meeting place in which they re-create  their culture through shared symbols and rites. The moral authority of religious leaders  encourages trust and solidarity to emerge among immigrants. For these reasons, among  the myriad of possible kinds of associations immigrants can create, religious institutions  help them develop solidarity with a group of peers trying to cross the same mountain en  route toward political and labor market incorporation in their new society.",2005-05,CMD,wp0505.pdf,NULL,NULL,NULL,0
357,Advancing Theory and Evidence about Migration and Cumulative Causation:  Destination and Gender in Thailand,Sara,NULL,Curran,Princeton University,Filiz,NULL,Garip,Princeton University,Chang,NULL,Chung,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"In this paper, we examine longitudinal data from Thailand and compare gendered  migration patterns to three substantively different destinations (a regional, primarily  agricultural wage laborer market; a primate city and its surrounding suburbs; and a newly  industrialized, state sponsored export processing zone). By examining the differential  effect of migrant networks on migration propensities of men and women across  destinations, we aim to extend our theoretical understanding of the role of cumulative  causation for influencing migration patterns. Because each destination is defined by  different labor market characteristics related to gender and places of origin are also  marked by different gender relations, we propose and find that there are significantly  different patterns of migration when disaggregating the accumulated migrant experience  by sex, destination, and place of origin (household or village). Using a unique data set  from Thailand that allows us to observe variation across villages, households, and  destinations over time, we observe that migrant characteristics as well as the effect of  prior migration experience change dramatically by destination. Disaggregating migration  experience by destination, we then find that experience in each destination increases the  propensity of migration to that destination significantly. However, the magnitude of this  increase is different in each destination. Further disaggregating migration experience by  sex, we find that in all destinations, female migration experience has a stronger effect  than male migration experience at each level of observation (individual, household or  village) upon the probability of migration. Finally, modeling men?s and women?s  migration separately, we find that the effect of migration experience also depends on  whether the migrant is a man or woman.",2005-05,CMD,wp0504.pdf,NULL,NULL,NULL,0
